9.688 2 WIND_INFO 2 42 0. 0. 0.
10.763 2 WIND_INFO 2 42 0. 0. 0.
19.688 2 WIND_INFO 2 42 0. 0. 0.
20.763 2 WIND_INFO 2 42 0. 0. 0.
29.687 2 WIND_INFO 2 42 0. 0. 0.
30.763 2 WIND_INFO 2 42 0. 0. 0.
39.688 2 WIND_INFO 2 42 0. 0. 0.
40.762 2 WIND_INFO 2 42 0. 0. 0.
49.687 2 WIND_INFO 2 42 0. 0. 0.
50.762 2 WIND_INFO 2 42 0. 0. 0.
59.687 2 WIND_INFO 2 42 0. 0. 0.
60.762 2 WIND_INFO 2 42 0. 0. 0.
69.687 2 WIND_INFO 2 42 0. 0. 0.
70.763 2 WIND_INFO 2 42 0. 0. 0.
79.687 2 WIND_INFO 2 42 0. 0. 0.
80.763 2 WIND_INFO 2 42 0. 0. 0.
89.688 2 WIND_INFO 2 42 0. 0. 0.
90.763 2 WIND_INFO 2 42 0. 0. 0.
99.688 2 WIND_INFO 2 42 0. 0. 0.
100.763 2 WIND_INFO 2 42 0. 0. 0.
109.699 2 WIND_INFO 2 42 0. 0. 0.
110.764 2 WIND_INFO 2 42 0. 0. 0.
119.690 2 WIND_INFO 2 42 0. 0. 0.
120.763 2 WIND_INFO 2 42 0. 0. 0.
129.690 2 WIND_INFO 2 42 0. 0. 0.
130.763 2 WIND_INFO 2 42 0. 0. 0.
139.691 2 WIND_INFO 2 42 0. 0. 0.
140.764 2 WIND_INFO 2 42 0. 0. 0.
149.690 2 WIND_INFO 2 42 0. 0. 0.
150.765 2 WIND_INFO 2 42 0. 0. 0.
159.690 2 WIND_INFO 2 42 0. 0. 0.
160.776 2 WIND_INFO 2 42 0. 0. 0.
169.690 2 WIND_INFO 2 42 0. 0. 0.
170.769 2 WIND_INFO 2 42 0. 0. 0.
179.691 2 WIND_INFO 2 42 0. 0. 0.
180.769 2 WIND_INFO 2 42 0. 0. 0.
189.691 2 WIND_INFO 2 42 0. 0. 0.
190.769 2 WIND_INFO 2 42 0. 0. 0.
199.691 2 WIND_INFO 2 42 0. 0. 0.
200.769 2 WIND_INFO 2 42 0. 0. 0.
209.690 2 WIND_INFO 2 42 0. 0. 0.
210.769 2 WIND_INFO 2 42 0. 0. 0.
219.691 2 WIND_INFO 2 42 0. 0. 0.
220.771 2 WIND_INFO 2 42 0. 0. 0.
229.690 2 WIND_INFO 2 42 0. 0. 0.
230.771 2 WIND_INFO 2 42 0. 0. 0.
239.692 2 WIND_INFO 2 42 0. 0. 0.
240.770 2 WIND_INFO 2 42 0. 0. 0.
249.692 2 WIND_INFO 2 42 0. 0. 0.
250.770 2 WIND_INFO 2 42 0. 0. 0.
